,praise_comment
59,温子仁救了DC，他创造了真正的英雄史诗，这也是影史上最为壮观和浪漫的海底奇观！如果现在的超英风向标是把英雄变成了普通人，那《海王》反其道行之把普通人变成神话。DC毫无疑问的绝地反击之作，偶有小瑕疵，不足挂齿！
60,阿凡达夺宝奇兵魔戒黑豹邦德侏罗纪环太徐老怪，烫金蛤蟆皮神秘暗示，招魂精灵男反骨自嘲，亚裔王温子仁自我毁灭，第一部当最后一部做，进化为不具名影坛海怪，苍蝇头坎爷可以活十集。
61,Talking to fish 这个梗玩的妙啊，整体也是有板有眼的精彩；所以说DC要是早点找温子仁、詹金斯这些个按部就班堆桥段、攒特效的导演按基本形成的超英类型片框架去构筑电影宇宙而不是使出钦点某某某做总指挥还用另一个某某某演蝙蝠侠这种自毁型大招的话，现在或许已经可以看到漫威的后脑勺了。
62,年度最爽翻超英电影，看特效已值回去水族馆的票钱！温导成功帮助故作深沉却屡屡失败的DC抢回观众缘，竟然打造了一个如此豪华的阵仗，如果不是在海底可以开发旅游线路了！迥异其他一些单篇超英电影潦草糊弄只为完成连接叙事，温导是希望两个半小时都热血欢腾，大主角海王没有外援也会失败，登基还有公主一半功劳呢！几组回忆杀拍得深情又有水平，脱离深海的寻戟之旅瞬间切换到谍战冒险片模式。希尔德美艳似黑寡妇，基德曼演起这类角色也越来越能打动人，威廉.达福莫不是奇异博士那边的法师兄长？
63,杀马特温拍了部武侠片质感的超级英雄…三叉戟换成金箍棒，海王变成孙猴子，这就是西游记第一部大闹龙宫啊。
64,想象中的沙和尚，大概就应该是这个样子了……
65,天选之子的成王之路。特效极为爆炸，故事略显老套。whatever 除了海族盔甲风格太像塑料玩具啦。
66,西西里岛和海沟国（这里真的是恐怖片的拍法了）两场戏最喜欢
67,波澜壮阔的海底世界形成了《海王》极具视觉冲击力的惊艳奇景，而接踵而至的鏖战，更是使电影从始至终维系了以出色的节奏掌控，面对一个原本甚是老套的英雄故事，温子仁的执导在尽显其个人风格的同时，更在DC电影一贯的暗黑色彩中焕发了新的生机。
68,跟幻想中的亚特兰蒂斯不太一样，感觉跟西游记里的龙王宇宙能连上……
69,这种规模的超英片剧情不会有太大问题，当然也不会给你很大发挥空间，兄弟夺王位的故事讲了好几百年，最近的跟黑豹也差不太多。但温子仁确实牛逼，在这部中国比美国上映还早的大片里为亚裔导演争了气，这得益于他在各种类型片里磨练出的一流商业嗅觉，和对视效、节奏的绝佳把握。行云流水的打斗、运镜、转场、闪回，原生态又高科技的亚特兰蒂斯，西游记即视感的七大王国虾兵蟹将，气势磅礴的海底战争，逼格恰到好处的耍酷pose、眼神、定格，再加上西西里的迷人风光，一点点浪漫爱情调剂...融为一部大众喜闻乐见的年底超级爽片。而温子仁才41岁，未来会有更多好莱坞头部项目交到他手里，勿捧杀，且期待。
70,"3.5 整体持平《黑豹》并列年度最佳超英片。
在视听语言和特效场面呈现上，肯定能在超英片史上排到最前列，“海陆空摆盘式”的绚烂和丰富、不断更迭的类型，甚至到了无所不用其极地步。搭配上各位主演的卖相，会让人产生强烈的愉悦感(考完研会迅速买票二刷)。
然而剧作的确成问题，它的几个拐点和主要人物塑造都比较粗暴，剧情容量也显得过度，架构有点“封神传奇”😂。但在温子仁的操盘遮掩下，节奏处理得尚可，家庭情感的几条副线又很撑气，竟然在最后给人一种“傻大个也要有层次”的良好感觉。"
71,奔波儿灞和灞波儿奔打起来了！最终奔波儿灞凭借一口与海鲜无障碍交流的好外语，拿到了金箍棒。【啥
